"filename", "language", "MS SQL", "JSON with Comments", "Markdown", "Python", "Dotenv", "PHP", "JSON", "XML", "JavaScript", "PostCSS", "comment", "blank", "total"
"/home/tordjman/Documents/prognoz.fr/public/404.php", "PHP", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"/home/tordjman/Documents/prognoz.fr/public/account/dashboard.php", "PHP", 0, 0, 0, 0, 0, 200, 0, 0, 0, 0, 0, 17, 217
"/home/tordjman/Documents/prognoz.fr/public/account/friends.php", "PHP", 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 13, 163
"/home/tordjman/Documents/prognoz.fr/public/account/profile.php", "PHP", 0, 0, 0, 0, 0, 183, 0, 0, 0, 0, 0, 15, 198
"/home/tordjman/Documents/prognoz.fr/public/account/settings.php", "PHP", 0, 0, 0, 0, 0, 582, 0, 0, 0, 0, 1, 22, 605
"/home/tordjman/Documents/prognoz.fr/public/admin/README.md", "Markdown", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 12, 38
"/home/tordjman/Documents/prognoz.fr/public/admin/dashboard.php", "PHP", 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 6, 82
"/home/tordjman/Documents/prognoz.fr/public/admin/index.php", "PHP", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 4, 4, 17
"/home/tordjman/Documents/prognoz.fr/public/admin/login.php", "PHP", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 6, 49
"/home/tordjman/Documents/prognoz.fr/public/admin/logout.php", "PHP", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
"/home/tordjman/Documents/prognoz.fr/public/admin/ops.php", "PHP", 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 6, 128
"/home/tordjman/Documents/prognoz.fr/public/admin/scores.php", "PHP", 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 6, 105
"/home/tordjman/Documents/prognoz.fr/public/admin/users.php", "PHP", 0, 0, 0, 0, 0, 114, 0, 0, 0, 0, 1, 6, 121
"/home/tordjman/Documents/prognoz.fr/public/api/chat_notifications.php", "PHP", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 10, 46
"/home/tordjman/Documents/prognoz.fr/public/api/fetch_messages.php", "PHP", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 9, 54
"/home/tordjman/Documents/prognoz.fr/public/api/flush_ticket.php", "PHP", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 1, 4
"/home/tordjman/Documents/prognoz.fr/public/api/point_notifications.php", "PHP", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 11, 50
"/home/tordjman/Documents/prognoz.fr/public/api/push_subscribe.php", "PHP", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 13, 62
"/home/tordjman/Documents/prognoz.fr/public/api/push_test.php", "PHP", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 8, 44
"/home/tordjman/Documents/prognoz.fr/public/api/push_vapid.php", "PHP", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 4, 15
"/home/tordjman/Documents/prognoz.fr/public/api/send_message.php", "PHP", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 15, 83
"/home/tordjman/Documents/prognoz.fr/public/api/submit_prediction.php", "PHP", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 11, 68
"/home/tordjman/Documents/prognoz.fr/public/api/sync.php", "PHP", 0, 0, 0, 0, 0, 190, 0, 0, 0, 0, 16, 24, 230
"/home/tordjman/Documents/prognoz.fr/public/api/test_mail.php", "PHP", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 6, 6, 34
"/home/tordjman/Documents/prognoz.fr/public/api/validate_ticket.php", "PHP", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 11, 58
"/home/tordjman/Documents/prognoz.fr/public/assets/css/admin.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 323, 4, 65, 392
"/home/tordjman/Documents/prognoz.fr/public/assets/css/style.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3754, 27, 622, 4403
"/home/tordjman/Documents/prognoz.fr/public/assets/img/apple-touch-icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 17
"/home/tordjman/Documents/prognoz.fr/public/assets/img/favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 17
"/home/tordjman/Documents/prognoz.fr/public/assets/js/chat.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 177, 0, 1, 24, 202
